Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Unpolarized_A_Green,C5,0,250,0.0,10.0,-1.1368683772161603e-16,6.190964003806284,0.0782400736538758,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,25,275,1.0,11.0,1.1368683772161603e-16,6.1994493155793515,0.1504281119998593,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,50,300,2.0,12.0,2.7000623958883806e-16,6.316541467788118,0.2718659585388072,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,75,325,3.0,13.0,0.0,6.241300272023379,0.2740180912767035,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,100,350,4.0,14.0,-7.815970093361102e-17,6.529627677396597,0.2467125913645164,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,125,375,5.0,15.0,-4.2632564145606006e-17,6.20812581694087,0.1986355445619249,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,150,400,6.0,16.0,-5.684341886080802e-17,5.947455038019417,0.225004285178369,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,175,425,7.0,17.0,7.105427357601002e-17,5.513155065178022,0.185890103617559,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,200,450,8.0,18.0,1.0302869668521452e-16,5.220898196824775,0.2431830712557422,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,225,475,9.0,19.0,-1.1368683772161603e-16,5.554566306088592,0.0391472766736503,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,250,500,10.0,20.0,3.1263880373444406e-16,9.24000620490441,1.025093649544808,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,275,525,11.0,21.0,4.2632564145606006e-17,7.4481931296126,0.7168510072439856,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,300,550,12.0,22.0,2.2737367544323206e-16,8.040291133681738,0.4501829560290462,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,325,575,13.0,23.0,1.5631940186722203e-16,8.188626278180944,0.6153107001302961,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,350,600,14.0,24.0,5.684341886080802e-17,7.38265558799653,0.7711367062580452,Day_2,Fair,Intermediate,3.75mm,Experiment_2
Unpolarized_A_Green,C5,375,625,15.0,25.0,2.842170943040401e-17,8.427265619347201,0.3995990547079537,Day_2,Fair,Intermediate,3.75mm,Experiment_2
