Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Fair_Fast_3.75mm,Unpolarized_A_Green,C5,PI,237.3609430490119,1021.71384438672,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-205.25188310736556,29.914761576992756,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_IR,C4,PI,-205.67085520844955,55.259828032869414,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_Green,C11,PI,-260.6513676340315,0.0,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-316.8505625456624,81.49639176169693,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_Green,C13,PI,-427.1199283206606,562.7677424370095,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_Red,C12,PI,-223.77374356075063,48.54067105325853,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_IR,C15,PI,-211.19770946921727,68.22853002522675,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-238.4142361376552,70.40194700402091,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-250.85354654010897,82.30724368627672,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-195.19356262056883,86.80606408066417,Day_2,Fair,Fast,3.75mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,-191.385795433474,0.0,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,-325.34853881193425,203.53798056897003,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,-228.72662845451305,111.25841290314644,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_Red,C8,PI,-219.3134795624806,7.922950221621548,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_IR,C10,PI,-215.68302629236172,22.779535315245624,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_Green,C13,PI,-74.62093571290437,437.55918944936633,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_Red,C12,PI,-429.0207506143774,854.5817880426519,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_IR,C15,PI,-199.23182728977665,67.4759422270473,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Cross-Polarized_Green,C19,PI,-213.67294900598569,70.2242430842578,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Cross-Polarized_Red,C18,PI,-203.8538733845043,31.17404826899172,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Cross-Polarized_IR,C21,PI,-203.60122502638256,29.842491681271447,Day_2,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_A_Red,C2,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_A_IR,C4,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_B_Red,C8,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Co-Polarized_Green,C13,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Co-Polarized_Red,C12,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Co-Polarized_IR,C15,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Cross-Polarized_Green,C19,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Cross-Polarized_Red,C18,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Fast_5mm,Cross-Polarized_IR,C21,PI,,,Day_2,Fair,Fast,5mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_Green,C5,PI,-217.008047202035,0.0,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_Red,C2,PI,-245.56421828148828,79.51198848561552,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_IR,C4,PI,-201.47189711235492,28.383165317875868,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_Red,C8,PI,-205.64357079742945,14.147637399509678,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_IR,C10,PI,-206.31185825332375,20.760290635796892,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Co-Polarized_Green,C13,PI,-118.4338200764991,352.4494647601981,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Co-Polarized_Red,C12,PI,-248.3006681953181,183.37479184761537,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Co-Polarized_IR,C15,PI,-211.88765454118072,19.815822216525923,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Cross-Polarized_Green,C19,PI,-204.9644391823932,16.76252721595737,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Cross-Polarized_Red,C18,PI,-202.8605720770161,31.92473391960922,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Cross-Polarized_IR,C21,PI,-198.8808456518573,26.39665865250806,Day_2,Fair,Slow,3.75mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_Green,C5,PI,-179.54059014090103,60.784059167791455,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-253.5740614024262,147.84144798446846,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-231.307446811733,68.59639973415034,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_Green,C11,PI,-259.706564498008,0.0,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_Red,C8,PI,-242.77579685066755,0.0,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Unpolarized_B_IR,C10,PI,-270.0882367372132,0.0,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_Green,C13,PI,-227.22503013497644,69.04018936991856,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_Red,C12,PI,-297.2731658933002,1439.3428201324311,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Co-Polarized_IR,C15,PI,-193.90489457201272,111.74479928062529,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-192.94628018585345,69.48592381670467,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-210.5796203271693,96.44083272883807,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-222.7513996555652,112.66614496376332,Day_2,Fair,Fast,2.5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_A_Red,C2,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_A_IR,C4,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_B_Red,C8,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Co-Polarized_Green,C13,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Co-Polarized_Red,C12,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Co-Polarized_IR,C15,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Cross-Polarized_Green,C19,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Cross-Polarized_Red,C18,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Cross-Polarized_IR,C21,PI,,,Day_2,Fair,Intermediate,5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_A_Green,C5,PI,-207.9450361144484,60.33464776058396,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-172.9977608499022,48.610441210155535,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_A_IR,C4,PI,-239.64371900023409,107.10370807091245,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_B_Green,C11,PI,-212.17993655268924,59.64767211618442,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-231.1341901672489,49.40772489845459,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-214.39115164930183,52.9883857747904,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Co-Polarized_Green,C13,PI,-106.40739964222983,356.2624029034716,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Co-Polarized_Red,C12,PI,-268.17161006068835,101.89520816003376,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Co-Polarized_IR,C15,PI,6.154004186048632,691.7468598021154,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-209.3033755734237,21.900115466817,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Cross-Polarized_Red,C18,PI,-199.37350651727647,23.8201398622252,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Cross-Polarized_IR,C21,PI,-199.3496744070989,32.32176565222799,Day_2,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_A_Green,C5,PI,-210.6154310893448,92.48462456218697,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_A_Red,C2,PI,-207.51762610484815,73.16253450616523,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_A_IR,C4,PI,-203.49674741247335,53.39225628096532,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_B_Green,C11,PI,-203.92772410669193,13.376798797108364,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_B_Red,C8,PI,-267.22782813465983,0.0,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_B_IR,C10,PI,-196.298116032246,28.054312729710265,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Co-Polarized_Green,C13,PI,-171.60385384869178,95.13817178296809,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Co-Polarized_Red,C12,PI,-266.5343333655925,148.34071934215874,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Co-Polarized_IR,C15,PI,-227.5796460141919,128.37990503769933,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Cross-Polarized_Green,C19,PI,-268.50214112724376,30.404878024898153,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Cross-Polarized_Red,C18,PI,-207.12687580503425,35.14622749366351,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Cross-Polarized_IR,C21,PI,-236.41828494328348,146.11256715910542,Day_2,Fair,Slow,5mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_A_Green,C5,PI,-319.2878814103217,200.83322374526747,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_A_Red,C2,PI,-330.15728752664603,396.49609783344147,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_A_IR,C4,PI,-207.29724548923943,20.548592193048922,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_B_Green,C11,PI,-252.13344525542237,24.700393066531902,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_B_Red,C8,PI,-254.08638559004277,0.0,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_B_IR,C10,PI,-212.2051667611574,60.62907832838309,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Co-Polarized_Green,C13,PI,-196.27144769418618,86.75454734941823,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Co-Polarized_Red,C12,PI,-214.1640937169671,49.32101714244656,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Co-Polarized_IR,C15,PI,-228.8464639381704,52.90235306048823,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Cross-Polarized_Green,C19,PI,-224.6190266892399,54.02112447404937,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Cross-Polarized_Red,C18,PI,-204.59743760546968,44.980087997016625,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Cross-Polarized_IR,C21,PI,-203.77898315372758,35.882106518377206,Day_2,Fair,Intermediate,3.75mm,Experiment_2,,
