Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Fair_Slow_2.5mm,Unpolarized_A_Green,C5,PI,165.27828928798104,1426.855153136704,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-288.1593954337377,153.23515416331077,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Unpolarized_A_IR,C4,PI,-212.08742268053223,107.67190284224208,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Unpolarized_B_Green,C11,PI,-190.31415380830956,64.44332776304331,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-221.2678988197672,132.30406049680192,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-220.62069604205297,64.29709557997555,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Co-Polarized_Green,C13,PI,-176.2577751785068,201.76873804628545,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Co-Polarized_Red,C12,PI,-1163.1175314511006,4003.615025949766,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Co-Polarized_IR,C15,PI,206.91889275178224,1736.8633827131066,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-318.49192641219855,1139.6987446473936,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Cross-Polarized_Red,C18,PI,36.96230582061449,821.9561284619573,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Slow_2.5mm,Cross-Polarized_IR,C21,PI,-703.0602459309579,2347.9484308682495,Day_1,Fair,Slow,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Unpolarized_A_Green,C5,PI,-248.86737274673703,172.62322729903116,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Unpolarized_A_Red,C2,PI,-283.30403833475657,112.6013080951264,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Unpolarized_A_IR,C4,PI,-272.44419039703337,102.7949320154214,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Unpolarized_B_Green,C11,PI,-170.84033182062868,46.51931292969372,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Unpolarized_B_Red,C8,PI,-218.47608649356172,83.7014202538085,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Unpolarized_B_IR,C10,PI,-241.99021288536576,59.96813676792029,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Co-Polarized_Green,C13,PI,-192.89797300104468,228.02904880328904,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Co-Polarized_Red,C12,PI,-162.88872753189577,82.11422938986604,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Co-Polarized_IR,C15,PI,-155.17575984720685,21.9588653868133,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Cross-Polarized_Green,C19,PI,-104.2333158298224,232.1072141196771,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Cross-Polarized_Red,C18,PI,-40.0789942381017,493.8659058466123,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Medium_2.5mm,Cross-Polarized_IR,C21,PI,-160.4320294071888,15.347729094704285,Day_1,Fair,Medium,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Unpolarized_A_Green,C5,PI,-157.26813123687066,47.85723632019647,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-209.82174133608797,108.03188200245347,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-187.67776801765072,88.96859172234264,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Unpolarized_B_Green,C11,PI,-206.34459384055526,49.45564486019755,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Unpolarized_B_Red,C8,PI,-255.77251641654493,97.3049930177618,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Unpolarized_B_IR,C10,PI,-155.49313428771924,46.58710115684167,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Co-Polarized_Green,C13,PI,-240.94374881877496,246.99477985977737,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Co-Polarized_Red,C12,PI,-60.6679197023462,275.7057215848819,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Co-Polarized_IR,C15,PI,-187.9851951089042,84.7580174181885,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-169.94745221517078,86.9686200024775,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-157.45305284924586,89.32431056273299,Day_1,Fair,Fast,2.5mm,Experiment_1,,
Fair_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-157.03151657956116,86.70697489604572,Day_1,Fair,Fast,2.5mm,Experiment_1,,
