Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Fair_0_UnPol,Unpolarized_A_Green,C5,PI,-269.0387169833673,82.10883628697293,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Unpolarized_A_Red,C2,PI,69.05874296856213,761.3065673503472,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Unpolarized_A_IR,C4,PI,-216.75014000562055,41.1373865450997,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Unpolarized_B_Green,C11,PI,-206.4348258459344,45.075600133887825,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Unpolarized_B_Red,C8,PI,-216.52505724589187,51.7276743811143,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Unpolarized_B_IR,C10,PI,-195.55358189004676,52.767385385610964,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Co-Polarized_Green,C13,PI,-164.20257892916237,97.79961727813594,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Co-Polarized_Red,C12,PI,-320.3719161347169,277.50957394002603,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Co-Polarized_IR,C15,PI,-105.87689196175593,287.18776454026954,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Cross-Polarized_Green,C19,PI,-226.5856410091499,83.7450541953757,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Cross-Polarized_Red,C18,PI,-225.10062387168827,63.44722278088888,Day_4,Experiment_3,IR,Fair,0,Un. Pol
IR_Fair_0_UnPol,Cross-Polarized_IR,C21,PI,-198.6530560470169,37.244456818827565,Day_4,Experiment_3,IR,Fair,0,Un. Pol
