Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Co-Polarized_Red,C12,0,250,0.0,10.0,0.0,179.5757352062738,0.502328705211053,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,25,275,1.0,11.0,6.821210263296962e-16,179.44832665470685,0.4993712245097297,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,50,300,2.0,12.0,1.1368683772161603e-16,179.47908402525263,0.5070060613333881,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,75,325,3.0,13.0,-5.684341886080802e-17,179.65699558918237,0.4495023108838811,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,100,350,4.0,14.0,1.5347723092418164e-15,176.64095231390385,0.7370227790140078,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,125,375,5.0,15.0,1.2278178473934531e-14,145.5845734625503,-3.760459084556482,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,150,400,6.0,16.0,-5.684341886080802e-17,11.941149637944772,-0.0254389504135698,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,175,425,7.0,17.0,-6.821210263296962e-16,12.800209942779563,0.2484737102264362,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,200,450,8.0,18.0,7.105427357601002e-17,11.741678678009714,-0.0216746118276637,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,225,475,9.0,19.0,-8.5265128291212e-17,12.34263474928138,-0.0486832456388578,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,250,500,10.0,20.0,7.673861546209082e-16,13.093718997924991,0.08754674661195,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,275,525,11.0,21.0,-5.684341886080802e-17,13.49397086730044,-0.1504624501632636,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,300,550,12.0,22.0,1.70530256582424e-16,12.5534680593921,-0.196352087405735,Day_1,Dark,Fast,3.75mm,Experiment_2
Co-Polarized_Red,C12,325,575,13.0,23.0,0.0,13.50225584104496,-0.4534473665629582,Day_1,Dark,Fast,3.75mm,Experiment_2
