Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Dark_Slow_5mm,Unpolarized_B_Green,C11,PI,,,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Unpolarized_B_IR,C10,PI,-252.0463115598709,27.371629710614755,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Co-Polarized_Green,C13,PI,-230.8072027085568,57.93226736046243,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Co-Polarized_Red,C12,PI,-222.56353558546945,38.72523215241312,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Co-Polarized_IR,C15,PI,-156.653322467541,369.5529340247032,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Cross-Polarized_Green,C19,PI,-203.26124978639888,28.419427016377448,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Cross-Polarized_Red,C18,PI,-210.38374415454888,31.721900579861476,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_5mm,Cross-Polarized_IR,C21,PI,-209.6587257765652,26.150281221447383,Day_1,Dark,Slow,5mm,Experiment_2
Dark_Slow_3.75mm,Unpolarized_A_Green,C5,PI,,,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Unpolarized_A_Red,C2,PI,,,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Unpolarized_A_IR,C4,PI,-211.4595861860711,23.207569012240825,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Unpolarized_B_IR,C10,PI,,,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Co-Polarized_Green,C13,PI,-213.97979504855795,43.8027254501528,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Co-Polarized_Red,C12,PI,-236.51134099027453,42.15836231973661,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Co-Polarized_IR,C15,PI,-206.1533110411225,45.662935936574904,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Cross-Polarized_Green,C19,PI,-227.78645653758673,54.261688083717125,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Cross-Polarized_Red,C18,PI,-208.04681432186447,22.46338744454725,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Slow_3.75mm,Cross-Polarized_IR,C21,PI,-225.90044527451695,18.20211708640487,Day_1,Dark,Slow,3.75mm,Experiment_2
Dark_Fast_2.5mm,Unpolarized_A_Green,C5,PI,-199.3564868314652,66.86802179684014,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-223.82479996184256,44.884650634744595,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-243.56143344088457,101.20256151513232,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Unpolarized_B_Green,C11,PI,-241.7834490348148,0.0,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Unpolarized_B_IR,C10,PI,-248.34052705261797,34.21544119280156,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Co-Polarized_Green,C13,PI,-232.30838031834912,86.34350196806585,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Co-Polarized_Red,C12,PI,-303.7765616973575,335.9152353966413,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Co-Polarized_IR,C15,PI,-176.60135933024975,79.23282200683101,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-226.109000452534,100.47638654636395,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-218.97801122605205,119.64115037657366,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-170.5965650933788,74.54580774259479,Day_1,Dark,Fast,2.5mm,Experiment_2
Dark_Fast_3.75mm,Unpolarized_A_Green,C5,PI,-256.35678433454933,89.36460130941805,Day_1,Dark,Fast,3.75mm,Experiment_2
