Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Fair_90_OgPol,Unpolarized_A_Green,C5,PI,-212.16580180029024,49.48896273955979,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_A_Red,C2,PI,-201.20441369581414,30.63969624689101,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_A_IR,C4,PI,-215.45593073388468,83.3367960736291,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_B_Green,C11,PI,,,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_B_Red,C8,PI,,,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Unpolarized_B_IR,C10,PI,,,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Co-Polarized_Green,C13,PI,-229.70589533159233,76.12418800923854,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Co-Polarized_Red,C12,PI,-216.2226005039911,59.73539427890685,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Co-Polarized_IR,C15,PI,-192.95215270380984,160.7322733954191,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Cross-Polarized_Green,C19,PI,-211.35198893990287,49.974200125813056,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Cross-Polarized_Red,C18,PI,-213.90182823137803,58.124993175769,Day_4,Experiment_3,IR,Fair,90,Og. Pol
IR_Fair_90_OgPol,Cross-Polarized_IR,C21,PI,-218.06453970964841,73.46157085820894,Day_4,Experiment_3,IR,Fair,90,Og. Pol
