Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Unpolarized_A_Green,C5,0,250,0.0,10.0,-4.8316906031686895e-16,6.898336666682753,0.3313175540260781,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,25,275,1.0,11.0,-2.842170943040401e-17,6.643452440041469,0.1436087535414354,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,50,300,2.0,12.0,-7.105427357601002e-17,5.523614653110692,0.1381177625632284,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,75,325,3.0,13.0,-2.131628207280301e-17,5.235561016828161,0.2035349504631747,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,100,350,4.0,14.0,-1.5631940186722203e-16,5.375029630075637,-0.2101995051835059,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,125,375,5.0,15.0,1.1368683772161603e-16,6.46969833877036,-0.1019741015858578,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,150,400,6.0,16.0,-2.2737367544323206e-16,6.422397233698342,0.0526268333466289,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,175,425,7.0,17.0,3.552713678800501e-17,6.1262756112402235,-0.4669512723563558,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,200,450,8.0,18.0,8.5265128291212e-17,6.575848280715254,-0.3452060020949172,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,225,475,9.0,19.0,2.842170943040401e-17,6.367674886981946,-0.2089429404947285,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,250,500,10.0,20.0,-8.5265128291212e-17,6.934045284562618,0.0654878296188494,Day_2,Medium,Fast,5mm,Experiment_2
Unpolarized_A_Green,C5,275,525,11.0,21.0,2.842170943040401e-17,6.8072387251128985,-0.0710289832123493,Day_2,Medium,Fast,5mm,Experiment_2
