Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Unpolarized_B_Green,C11,225,475,9.0,19.0,-8.5265128291212e-17,6.599213950966756,-0.0518939238603449,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,0,250,0.0,10.0,-1.5631940186722203e-16,6.367628447755568,-0.2332909084334944,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,25,275,1.0,11.0,1.4210854715202004e-17,6.363467841465022,-0.0841999554051021,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,50,300,2.0,12.0,-8.5265128291212e-17,6.219777701848511,-0.1893716237242937,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,75,325,3.0,13.0,-5.684341886080802e-17,6.240783568181362,-0.0652512970022024,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,100,350,4.0,14.0,4.2632564145606006e-17,6.33646559859785,-0.1831237042777153,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,125,375,5.0,15.0,0.0,6.781992811647078,0.2572296059146982,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,150,400,6.0,16.0,-7.105427357601002e-17,5.793239047400565,-0.4449407212417717,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,175,425,7.0,17.0,-4.263256414560601e-16,6.794708234206314,0.0484997833977592,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,200,450,8.0,18.0,-1.2789769243681802e-16,5.898451511267228,-0.0303029841820982,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_Red,C8,225,475,9.0,19.0,-1.4210854715202004e-17,5.943377503408166,0.1012820312632494,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,0,250,0.0,10.0,-1.9895196601282808e-16,6.619346998047446,-0.3441323130161006,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,25,275,1.0,11.0,-2.842170943040401e-17,6.770865439534242,-0.0753656082760725,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,50,300,2.0,12.0,1.7763568394002505e-17,5.643254806357475,-0.2428739624136468,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,75,325,3.0,13.0,4.263256414560601e-17,5.859833094289865,-0.0780724721084099,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,100,350,4.0,14.0,1.5631940186722203e-16,6.012507656995877,-0.2089216489939082,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,125,375,5.0,15.0,-2.2737367544323206e-16,5.971568529338051,-0.2102785813318024,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,150,400,6.0,16.0,-9.237055564881302e-17,5.896771692197068,0.088234183371852,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,175,425,7.0,17.0,-7.105427357601002e-17,5.345561491432898,-0.0203531951166094,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,200,450,8.0,18.0,1.4210854715202004e-16,5.101141003955293,0.1663884710080878,Day_1,Medium,Fast,5mm,Experiment_2
Unpolarized_B_IR,C10,225,475,9.0,19.0,-2.5579538487363605e-16,5.066827405450255,0.0715613904782812,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,0,250,0.0,10.0,-8.881784197001253e-17,14.94086190506821,-0.1553066445026398,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,25,275,1.0,11.0,0.0,14.475144714400066,-0.1116829263393516,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,50,300,2.0,12.0,2.2737367544323206e-16,14.84347395213358,-0.2448695267091043,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,75,325,3.0,13.0,-2.2737367544323206e-16,14.99919336225217,-0.251592809368115,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,100,350,4.0,14.0,-1.70530256582424e-16,15.353005661463875,-0.2028119282964559,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,125,375,5.0,15.0,1.1368683772161603e-16,14.211728010129177,-0.1617225881485721,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,150,400,6.0,16.0,-9.947598300641404e-17,14.350071892426753,-0.1747362518923464,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,175,425,7.0,17.0,1.7763568394002506e-16,13.402432837778813,0.0200593721888025,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,200,450,8.0,18.0,-2.2737367544323206e-16,13.76386925850801,-0.0668791774939643,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Green,C13,225,475,9.0,19.0,1.1368683772161603e-16,13.947998823371677,0.0088450141856217,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,0,250,0.0,10.0,8.5265128291212e-17,13.247864625980512,-0.0540035092130373,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,25,275,1.0,11.0,-6.394884621840901e-17,14.619925149916808,-0.2046058281405628,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,50,300,2.0,12.0,-6.039613253960852e-17,14.980014825224076,0.189373648248444,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,75,325,3.0,13.0,-5.684341886080802e-17,13.127399519440678,0.0419648158858242,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,100,350,4.0,14.0,-1.4210854715202004e-16,13.347150434414957,-0.0751562675035971,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,125,375,5.0,15.0,3.410605131648481e-16,14.65880546551946,-0.1031055510817408,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,150,400,6.0,16.0,-5.684341886080802e-17,14.180526036405404,-0.0453453619781348,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,175,425,7.0,17.0,-3.979039320256561e-16,15.941764584344762,-0.2337065635595452,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,200,450,8.0,18.0,-3.979039320256561e-16,16.43360892260318,-0.3200336528345829,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_Red,C12,225,475,9.0,19.0,-9.094947017729285e-16,15.636153971550208,-0.0837817363216757,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,0,250,0.0,10.0,1.70530256582424e-16,11.229142662378356,0.4395852091640064,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,25,275,1.0,11.0,9.237055564881302e-17,9.76893971923826,0.5597321378325139,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,50,300,2.0,12.0,-7.105427357601002e-17,9.832964163483522,0.6653589905959995,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,75,325,3.0,13.0,-1.9895196601282808e-16,8.263880249395237,0.2376416194779441,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,100,350,4.0,14.0,-6.536993168992925e-16,8.842238359600115,-0.0155187673519741,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,125,375,5.0,15.0,6.821210263296962e-16,9.941138904047335,0.3587363485668313,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,150,400,6.0,16.0,-1.1368683772161603e-16,8.411100456660101,-0.0756047157722065,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,175,425,7.0,17.0,-2.5579538487363605e-16,10.114239782168127,-0.4458084436955731,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,200,450,8.0,18.0,-5.684341886080802e-17,8.363551824166885,0.0253454283409917,Day_1,Medium,Fast,5mm,Experiment_2
Co-Polarized_IR,C15,225,475,9.0,19.0,5.684341886080802e-17,8.43810568341855,0.082127865979996,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,0,250,0.0,10.0,-4.263256414560601e-17,6.7998857523617975,-0.1363046783263864,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,25,275,1.0,11.0,-7.105427357601002e-17,6.817022533403365,-0.1961655636973119,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,50,300,2.0,12.0,9.947598300641404e-17,6.97870912064189,-0.272118711970598,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,75,325,3.0,13.0,8.5265128291212e-17,7.036948224427137,-0.2596582082057181,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,100,350,4.0,14.0,6.536993168992924e-16,7.637988025787542,-0.137800120529028,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,125,375,5.0,15.0,-5.684341886080802e-17,7.121866805206881,-0.2813544527923951,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,150,400,6.0,16.0,5.684341886080802e-17,7.026251727791494,-0.3005834822023949,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,175,425,7.0,17.0,-1.2079226507921704e-16,7.183644346801554,-0.0531944329804174,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,200,450,8.0,18.0,-3.552713678800501e-17,7.136651268457638,-0.3557350018045058,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Green,C19,225,475,9.0,19.0,-2.2737367544323206e-16,7.609594978951413,-0.2409460872762084,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,0,250,0.0,10.0,-5.186961971048731e-16,8.03725855665598,-0.1854581161505814,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,25,275,1.0,11.0,5.684341886080802e-17,7.832664344649852,-0.1342787828793696,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,50,300,2.0,12.0,4.2632564145606006e-17,7.87658226373195,0.0349012503806938,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,75,325,3.0,13.0,-3.836930773104541e-16,5.751586662776873,-0.1709786365380619,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,100,350,4.0,14.0,-2.3447910280083307e-16,6.343660806086684,0.0220824673097567,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,125,375,5.0,15.0,2.984279490192421e-16,6.726327068991691,-0.1819781493992739,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,150,400,6.0,16.0,-1.1368683772161603e-16,6.953496571715145,-0.0965995895484686,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,175,425,7.0,17.0,-2.2737367544323206e-16,8.19230287664912,-0.3887634195227487,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,200,450,8.0,18.0,3.410605131648481e-16,8.68610182096176,-0.2495735666959369,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_Red,C18,225,475,9.0,19.0,-2.2737367544323206e-16,9.07966410120574,-0.0762015959603994,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,0,250,0.0,10.0,-1.1368683772161603e-16,5.871791889582456,0.12871659632469892,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,25,275,1.0,11.0,-9.947598300641403e-17,5.194575374138782,-0.2563936863297474,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,50,300,2.0,12.0,3.552713678800501e-17,5.303252610653335,-0.06696839464436735,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,75,325,3.0,13.0,1.3145040611561853e-16,5.556930220153569,0.03963196985815912,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,100,350,4.0,14.0,-6.394884621840901e-17,5.738585796078268,-0.1891228764066182,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,125,375,5.0,15.0,5.258016244624741e-16,6.536596814404549,0.3108063066278537,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,150,400,6.0,16.0,0.0,6.214919030464967,0.224825293490558,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,175,425,7.0,17.0,1.1013412404281553e-16,6.004840152940726,0.31640526117448803,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,200,450,8.0,18.0,1.1368683772161603e-16,5.838044793058232,0.2637825384129805,Day_1,Medium,Fast,5mm,Experiment_2
Cross-Polarized_IR,C21,225,475,9.0,19.0,0.0,6.15813904845209,0.24081569242659515,Day_1,Medium,Fast,5mm,Experiment_2
