Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Medium_Slow_3.75mm,Unpolarized_B_IR,C10,PI,-195.53690253186292,36.41393552221196,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Slow_3.75mm,Co-Polarized_Green,C13,PI,39.755445960164025,507.18796935590666,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Slow_3.75mm,Co-Polarized_Red,C12,PI,-132.91377219165292,716.7631459779386,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Slow_3.75mm,Co-Polarized_IR,C15,PI,-221.10276652924753,158.3991186911074,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Slow_3.75mm,Cross-Polarized_Green,C19,PI,-180.83207578074305,51.34194262682109,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Slow_3.75mm,Cross-Polarized_Red,C18,PI,-197.91039634005463,115.62310977561312,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Slow_3.75mm,Cross-Polarized_IR,C21,PI,-235.13752699168137,4.3956138416476165,Day_1,Medium,Slow,3.75mm,Experiment_2
Medium_Intermediate_5mm,Unpolarized_A_Green,C5,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Unpolarized_A_Red,C2,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Unpolarized_A_IR,C4,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Unpolarized_B_Green,C11,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Unpolarized_B_IR,C10,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Co-Polarized_Green,C13,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Co-Polarized_Red,C12,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Co-Polarized_IR,C15,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Cross-Polarized_Green,C19,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Cross-Polarized_Red,C18,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Intermediate_5mm,Cross-Polarized_IR,C21,PI,,,Day_1,Medium,Intermediate,5mm,Experiment_2
Medium_Fast_5mm,Unpolarized_A_Green,C5,PI,,,Day_1,Medium,Fast,5mm,Experiment_2
