Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
Unpolarized_A_Green,C5,0,250,0.0,10.0,-1.3500311979441903e-16,12.240850178494474,0.625660791251419,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,25,275,1.0,11.0,3.836930773104541e-16,12.207959316949127,0.542857064870775,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,50,300,2.0,12.0,8.5265128291212e-17,11.218453513638632,0.7388624580850005,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,75,325,3.0,13.0,1.70530256582424e-16,12.20139148567888,0.8522507239273786,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,100,350,4.0,14.0,1.2789769243681802e-16,8.654584300331294,0.187535723859718,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,125,375,5.0,15.0,2.4158453015843413e-16,8.378677043345684,0.2230017630978836,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,150,400,6.0,16.0,-2.842170943040401e-17,7.665261122369616,0.1723745747955277,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,175,425,7.0,17.0,-1.1368683772161603e-16,7.426862053262367,0.2048974150489461,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,200,450,8.0,18.0,2.842170943040401e-17,6.71532913834999,0.1225646798048809,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,225,475,9.0,19.0,0.0,7.564648385680184,0.3533967550591614,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,250,500,10.0,20.0,-1.6697754290362352e-16,7.271153559768625,0.1194148226244251,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,275,525,11.0,21.0,-2.486899575160351e-17,7.310752541388963,0.1062327085322047,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,300,550,12.0,22.0,1.7763568394002506e-16,7.270018437317061,0.203755746957148,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,325,575,13.0,23.0,2.5579538487363605e-16,7.504653913824832,-0.1526809550830803,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,350,600,14.0,24.0,5.684341886080802e-17,6.621584798390386,-0.0012848344781848,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,375,625,15.0,25.0,-2.2737367544323206e-16,6.645064123109873,-0.0893462404821426,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,400,650,16.0,26.0,7.105427357601002e-17,6.7913316561925905,-0.10206244872164,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,425,675,17.0,27.0,2.984279490192421e-16,6.9970182538202,0.2710996784743353,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,450,700,18.0,28.0,3.1263880373444406e-16,5.807650175614605,-0.0197923073428855,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,475,725,19.0,29.0,-4.1211478674085813e-16,5.732118116925347,-0.4792447654324188,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,500,750,20.0,30.0,-1.1368683772161603e-16,5.6760671786452646,-0.0229739148033373,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,525,775,21.0,31.0,3.552713678800501e-17,7.10407483706176,-0.5333665388077969,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,550,800,22.0,32.0,-1.9895196601282808e-16,7.31471995663304,-0.4271797134250883,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,575,825,23.0,33.0,-2.1316282072803002e-16,7.438139684321865,-0.4184764160398707,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,600,850,24.0,34.0,2.131628207280301e-17,7.232136020819802,-0.3967847607417103,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,625,875,25.0,35.0,-8.5265128291212e-17,7.551962347867847,-0.3875203176602434,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Green,C5,650,900,26.0,36.0,-1.2789769243681802e-16,7.028583644414872,-0.4757180465744335,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,0,250,0.0,10.0,2.7284841053187848e-15,55.1648413758495,3.453610813000436,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,25,275,1.0,11.0,2.131628207280301e-17,11.575093190713591,-0.1422734857405337,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,50,300,2.0,12.0,-1.4210854715202004e-16,11.34971248397086,-0.3039443539324014,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,75,325,3.0,13.0,-1.8474111129762604e-16,12.270404465886957,0.6576796653920588,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,100,350,4.0,14.0,-2.842170943040401e-17,9.385855837105312,-0.275634817396732,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,125,375,5.0,15.0,-1.70530256582424e-16,9.694194673202777,-0.238775915008113,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,150,400,6.0,16.0,1.4210854715202004e-17,9.645703606214084,-0.1260436994994038,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,175,425,7.0,17.0,0.0,9.634946725380608,-0.1871657975417798,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,200,450,8.0,18.0,-2.2737367544323206e-16,10.8688862934223,-0.183804393880072,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,225,475,9.0,19.0,-1.4210854715202004e-16,11.275307576323504,0.0418524950161911,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,250,500,10.0,20.0,3.1263880373444406e-16,10.756485790708757,-0.1157407594619507,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,275,525,11.0,21.0,-2.2737367544323206e-16,10.32338579130088,0.0656672550094315,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,300,550,12.0,22.0,7.105427357601002e-17,9.966757691580067,0.0733323945464185,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,325,575,13.0,23.0,5.684341886080802e-17,12.033045866858872,0.2310213678939311,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,350,600,14.0,24.0,2.0605739337042904e-16,12.840374094270254,-0.080664106235421,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,375,625,15.0,25.0,-5.6843418860808095e-16,13.519098957744532,0.1526762704416358,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,400,650,16.0,26.0,1.4210854715202004e-16,12.221567138756184,-0.056437426527886,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,425,675,17.0,27.0,-1.1368683772161603e-16,12.471389772373431,-0.0752149951199361,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,450,700,18.0,28.0,1.4210854715202004e-16,12.588730950423578,-0.0453608089933308,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,475,725,19.0,29.0,-3.410605131648481e-16,13.528151855250696,0.2126385422234955,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,500,750,20.0,30.0,-5.684341886080802e-17,13.41384476314508,0.0679207866658788,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,525,775,21.0,31.0,-1.7763568394002506e-16,14.17391853187364,0.055404901925318,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,550,800,22.0,32.0,0.0,13.94338954795232,0.1953983731238961,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,575,825,23.0,33.0,-2.2737367544323206e-16,13.39857491111105,0.1506555929828325,Day_4,Experiment_3,IR,Fair,90,Un. Pol
Unpolarized_A_Red,C2,600,850,24.0,34.0,3.1263880373444406e-16,11.95973733092421,0.2552947421116264,Day_4,Experiment_3,IR,Fair,90,Un. Pol
